Country_EN,Country_ES,Country_IT,Region,2020-01-23,2020-01-24,2020-01-25,2020-01-26,2020-01-27,2020-01-28,2020-01-29,2020-01-30,2020-01-31,2020-02-01,2020-02-02,2020-02-03,2020-02-04,2020-02-05,2020-02-06,2020-02-07,2020-02-08,2020-02-09,2020-02-10,2020-02-11,2020-02-12,2020-02-13,2020-02-14,2020-02-15,2020-02-16,2020-02-17,2020-02-18,2020-02-19,2020-02-20,2020-02-21,2020-02-22,2020-02-23,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-08,2020-08-09,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,2020-08-15,2020-08-16,2020-08-17,2020-08-18,2020-08-19,2020-08-20,2020-08-21,2020-08-22,2020-08-23,2020-08-24,2020-08-25,2020-08-26,2020-08-27,2020-08-28,2020-08-29,2020-08-30,2020-08-31,2020-09-01,2020-09-02,2020-09-03,2020-09-04,2020-09-05,2020-09-06,2020-09-07,2020-09-08,2020-09-09,2020-09-10,2020-09-11,2020-09-12,2020-09-13,2020-09-14,2020-09-15,2020-09-16,2020-09-17,2020-09-18,2020-09-19,2020-09-20,2020-09-21,2020-09-22,2020-09-23,2020-09-24,2020-09-25,2020-09-26,2020-09-27,2020-09-28,2020-09-29,2020-09-30,2020-10-01,2020-10-02,2020-10-03,2020-10-04,2020-10-05,2020-10-06,2020-10-07,2020-10-08,2020-10-09,2020-10-10,2020-10-11,2020-10-12,2020-10-13,2020-10-14,2020-10-15,2020-10-16,2020-10-17,2020-10-18,2020-10-19,2020-10-20,2020-10-21,2020-10-22,2020-10-23,2020-10-24,2020-10-25,2020-10-26,2020-10-27,2020-10-28,2020-10-29,2020-10-30,2020-10-31,2020-11-01,2020-11-02,2020-11-03,2020-11-04,2020-11-05,2020-11-06,2020-11-07,2020-11-08,2020-11-09,2020-11-10,2020-11-11,2020-11-12,2020-11-13,2020-11-14,2020-11-15,2020-11-16,2020-11-17,2020-11-18,2020-11-19,2020-11-20,2020-11-21,2020-11-22,2020-11-23,2020-11-24,2020-11-25,2020-11-26,2020-11-27,2020-11-28,2020-11-29,2020-11-30,2020-12-01,2020-12-02,2020-12-03,2020-12-04,2020-12-05,2020-12-06,2020-12-07,2020-12-08,2020-12-09,2020-12-10,2020-12-11,2020-12-12,2020-12-13
North Macedonia,Macedonia del Norte,Nord Macedonia,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,12,12,17,17,20,20,23,30,30,35,37,41,41,41,44,86,98,121,139,164,179,200,224,272,301,337,374,500,553,589,627,738,807,852,945,992,1013,1057,1079,1099,1112,1136,1200,1205,1229,1235,1251,1267,1293,1301,1351,1367,1378,1387,1411,1422,1439,1453,1470,1486,1516,1535,1552,1569,1595,1605,1621,1632,1640,1646,1653,1658,1664,1682,1694,1705,1710,1723,1757,1803,1836,1863,1904,1926,1974,2048,2091,2166,2206,2236,2315,2427,2475,2598,2748,2876,2987,3027,3199,3324,3554,3624,3960,4080,4203,4326,4468,4565,4565,4676,4727,4810,4871,4940,5071,5071,5254,5357,5427,5564,5663,5931,6020,6554,6698,6882,6972,7108,7221,7480,7607,7622,7664,8087,8248,8487,8662,9030,9123,9174,9174,9513,9625,9752,9977,10052,10110,10150,10210,10507,10722,10933,11014,11062,11157,11525,11741,11965,12054,12149,12235,12486,12700,12754,12896,12994,13128,13184,13315,13418,13550,13635,13732,13792,13863,13949,14084,14186,14312,14422,14516,14581,14642,14801,14959,15068,15164,15264,15341,15487,15645,15749,15855,16009,16099,16194,16301,16397,16591,16758,16949,17111,17239,17392,17673,17905,18047,18247,18430,18627,18948,19479,19771,19994,20448,20731,21090,21244,21665,22024,22526,22835,23011,23035,24229,24920,25353,25782,26289,26981,27364,27803,28646,29583,30204,30952,31659,32366,32894,33892,34970,36064,36825,37505,38400,38946,40188,40977,41656,42241,42872,43646,44705,45621,46352,47364,48170,48726,49414
Niger,Níger,Niger,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,26,26,28,40,41,41,75,75,90,90,90,110,113,117,117,127,193,193,256,325,350,385,385,403,435,478,507,518,534,543,561,586,600,617,624,637,648,658,677,684,689,698,714,734,738,753,764,775,783,786,796,796,803,813,818,839,844,848,857,860,863,867,867,867,869,876,878,881,881,881,885,885,885,901,901,911,911,913,913,913,917,919,924,939,939,943,943,959,963,963,965,968,974,974,976,978,992,992,992,992,992,993,1013,1013,1014,1014,1014,1018,1022,1024,1025,1025,1027,1027,1027,1028,1028,1028,1032,1032,1037,1057,1057,1057,1057,1057,1062,1062,1065,1075,1075,1077,1078,1078,1078,1079,1082,1083,1083,1083,1084,1084,1084,1084,1085,1085,1085,1085,1088,1088,1091,1091,1091,1091,1091,1099,1099,1099,1100,1100,1100,1104,1104,1104,1104,1104,1104,1104,1104,1104,1107,1107,1107,1107,1107,1110,1110,1114,1114,1115,1115,1115,1115,1115,1122,1122,1123,1123,1123,1124,1124,1124,1124,1126,1126,1126,1128,1128,1128,1128,1128,1128,1128,1129,1132,1132,1135,1137,1137,1141,1141,1141,1142,1142,1143,1143,1144,1144,1144,1144,1144,1145,1147,1148,1150,1150,1151,1153,1156,1158,1166,1166,1169,1170,1182,1192,1205,1207,1210,1219,1227,1227,1237,1237,1237,1239,1239,1241,1249,1269,1276,1292
Austria,Austria,Austria,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,4,4,6,6,6,6,6,9,9,9,9,9,9,9,9,112,225,225,479,636,1095,1436,1749,2022,2507,2998,3463,4046,4512,5240,6064,6604,6987,7343,7633,8098,8986,9704,10214,10501,10631,10971,11328,11694,11872,12103,12282,12362,12580,12779,12907,13110,13180,13228,13316,13462,13639,13698,13836,13928,13991,14061,14148,14304,14405,14471,14524,14563,14614,14678,14882,14951,15005,15037,15063,15138,15182,15228,15286,15347,15520,15593,15596,15629,15672,15717,15742,15789,15793,15839,15875,15910,15949,15985,16012,16059,16066,16089,16099,16101,16141,16175,16197,16241,16261,16282,16320,16348,16371,16401,16420,16478,16491,16514,16558,16607,16615,16647,16686,16721,16758,16808,16864,16952,17000,17073,17175,17244,17335,17501,17599,17659,17716,17849,17943,18042,18124,18209,18246,18379,18528,18628,18758,18911,18984,19063,19336,19464,19596,19690,19812,19923,20010,20123,20268,20346,20499,20627,20681,20765,20870,20958,21093,21260,21406,21558,21657,21888,22145,22317,22594,22866,23070,23226,23565,23820,24171,24513,24828,25043,25300,25629,25764,26043,26257,26579,26760,27010,27354,27655,28044,28451,28961,29229,29516,30312,30949,31661,32301,33154,33589,34052,34916,35644,36476,37186,38045,38629,39058,39790,40499,41289,42039,42829,43448,44065,44949,45846,46798,47618,48771,49561,50359,51407,52617,53970,55195,56791,57858,59036,60308,61684,63366,64987,67226,69336,71691,74292,77036,80604,83707,88273,91719,94627,98663,103759,107875,112728,119415,125674,129671,136487,142738,149541,156483,162751,169260,175527,182620,189059,196342,203251,210697,216998,221692,227497,233657,238127,243775,249441,252765,256811,262314,265815,269665,273503,277883,281106
Malawi,Malawi,Malawi,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,3,4,4,4,4,5,7,7,9,9,9,9,9,9,14,14,14,14,24,24,24,24,24,24,27,27,27,27,27,28,28,33,33,37,37,37,42,42,42,42,42,51,51,55,55,55,55,55,55,55,65,66,69,69,73,73,74,91,91,258,258,258,259,260,260,260,260,260,260,260,271,317,317,317,317,317,345,369,379,517,557,747,795,1005,1073,1107,1111,1135,1153,1180,1282,1282,1373,1373,1639,1645,1667,1728,1760,1875,1914,1919,1945,2047,2078,2137,2184,2329,2375,2430,2477,2529,2550,2576,2623,2626,2690,2716,2857,2883,2929,2998,3012,3059,3066,3085,3121,3143,3143,3147,3160,3420,3500,3516,3533,3551,3551,3590,3630,3630,3683,3720,3724,3731,3742,3762,3764,4000,4026,4030,4040,4053,4065,4140,4163,4178,4185,4206,4243,4245,4263,4514,4535,4539,4541,4541,4549,4575,4626,4631,4644,4647,4659,4688,4723,4728,4735,4740,4742,4757,4757,4762,4764,5287,5288,5291,5294,5299,5300,5303,5323,5323,5323,5323,5333,5336,5338,5346,5346,5348,5359,5361,5366,5369,5372,5399,5399,5402,5402,5434,5435,5439,5441,5441,5443,5445,5450,5450,5453,5453,5453,5455,5465,5471,5472,5472,5476,5476,5476,5482,5487,5487,5490,5491,5491
Dominican Republic,República Dominicana,Repubblica Dominicana,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,4,5,9,16,16,16,17,33,36,50,80,98,108,131,152,162,208,215,268,312,363,416,463,581,581,763,822,910,993,1165,1228,1301,1387,1481,1606,1771,1905,1905,2064,2286,2584,2763,2870,3221,3221,3351,3557,3726,5847,6613,6613,7142,7366,7572,7854,8133,8285,8534,8790,8952,9266,9557,10559,10893,11075,11224,11474,11736,11919,12007,12158,12208,12318,12541,12754,13084,13320,14025,14133,14216,14293,14605,14957,15138,15338,15551,16006,16223,16357,16666,17142,17280,17580,17904,18141,18392,18602,18943,19489,19564,20056,20426,20830,20996,21459,22441,23134,23459,23636,24423,24607,25094,25561,25976,26466,26905,27625,27980,28603,30204,32014,33947,35302,36470,37509,38244,38824,38824,40122,40539,41393,42538,43744,44910,45666,47095,47946,49539,51356,52905,54108,55504,56760,57734,59132,59949,60670,61558,62460,63478,64347,65285,66320,66776,68082,68736,69519,70871,70871,71901,72567,73228,73795,74305,75034,75747,76531,77182,77790,78387,78891,79363,80179,80820,81668,82274,82741,83434,84018,84610,85220,85965,86422,86998,87629,88205,88840,89635,90366,90942,91569,92157,92567,93061,93627,94084,94532,94941,95460,96152,96883,97575,98207,98880,99271,100051,100920,100920,102353,102651,103081,103324,103412,103944,104486,104862,105289,105634,105982,106304,106650,107038,107580,108021,108383,108765,109057,109135,109268,109590,109981,110381,110761,110871,111527,111681,112090,112552,112882,113134,113263,113687,113817,114317,114818,115219,115530,115611,115992,116169,116329,116873,117402,117804,118008,118770,118877,119616,120481
Netherlands,Países Bajos,Olanda,Sint Maarten,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,6,6,6,1,1,1,1,3,5,5,5,5,5,12,12,12,12,12,12,22,22,22,22,33,33,33,33,33,44,44,44,44,44,44,44,44,44,46,46,46,46,46,46,46,54,54,54,54,54,59,59,59,59,59,60,60,60,60,60,60,60,60,60,61,61,61,61,61,61,61,61,61,61,61,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,64,64,64,64,64,64,64,64,86,86,86,86,93,102,102,102,102,107,107,107,107,133,146,146,147,147,147,148,179,179,179,179,179,200,241,302,302,302,302,302,321,321,333,333,387,430,430,430,468,477,477,488,488,488,505,512,517,517,532,532,532,549,557,567,572,572,572,592,592,592,620,622,622,622,632,645,657,657,659,664,669,675,675,681,681,702,705,705,710,714,724,730,753,753,753,760,768,768,780,780,787,787,801,804,817,825,835,835,835,857,867,874,878,883,890,890,900,906,919,928,936,947,947,947,964,973,993,1007,1017,1017,1030,1041,1047,1058,1070,1075,1075
Netherlands,Países Bajos,Olanda,Aruba,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,2,14,14,20,27,29,32,32,32,39,39,43,44,49,49,51,68,68,68,69,73,73,73,73,79,81,81,81,81,82,89,89,89,89,89,89,89,89,93,93,93,93,93,93,95,95,95,95,95,95,95,97,97,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,99,99,99,99,99,99,100,100,100,100,100,100,100,101,102,102,102,102,102,105,105,105,111,112,112,112,114,114,114,114,114,114,114,114,114,193,200,212,277,277,277,415,446,455,455,565,565,608,743,765,765,768,768,934,1031,1031,1206,1206,1244,1244,1351,1407,1407,1542,1542,1566,1610,1676,1676,2128,2128,2239,2369,2426,2501,2664,2753,2829,2948,3037,3181,3259,3327,3406,3474,3532,3612,3643,3678,3718,3718,3753,3768,3790,3849,3875,3910,3947,3983,3983,4040,4065,4084,4120,4160,4186,4209,4222,4253,4265,4286,4286,4319,4326,4331,4340,4348,4352,4367,4383,4389,4389,4399,4419,4497,4511,4521,4534,4535,4547,4558,4569,4580,4588,4596,4607,4618,4632,4640,4648,4664,4679,4692,4705,4718,4733,4746,4763,4788,4801,4827,4856,4865,4879,4890,4896
Netherlands,Países Bajos,Olanda,Curacao,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,3,3,5,5,5,7,7,7,7,7,8,8,10,10,10,10,11,11,11,11,11,11,11,11,11,11,11,13,13,13,13,13,13,13,13,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,15,15,15,15,15,15,15,15,15,15,15,15,15,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,28,30,30,30,30,30,30,30,30,31,31,31,31,31,31,31,32,33,34,34,34,34,35,35,35,35,35,35,39,39,39,45,45,45,51,55,55,55,57,58,61,68,74,83,83,88,102,102,104,115,124,134,141,148,157,171,185,197,213,231,242,262,270,281,291,308,315,332,343,367,371,391,417,433,458,466,479,509,534,555,584,590,606,623,643,660,665,684,698,722,746,768,783,808,816,822,837,865,899,913,923,928,945,946,953,968,977,988,1004,1031,1043,1057,1078,1114,1123,1138,1151,1191,1218,1245,1292,1328,1337,1352,1386,1488,1568,1638,1708,1736
Netherlands,Países Bajos,Olanda,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,3,4,6,6,6,253,253,253,260,260,260,262,262,258,272,272,278,287,291,295,295,297,304,311,315,317,322,322,322,101,101,101,102,117,117,117,119,125,138,138,138,138,139,146,147,147,147,149,149,149,155,159,159,159,167,167,167,169,169,174,174,174,174,174,177,177,178,178,178,179,180,180,180,181,181,181,181,181,181,181,181,181,181,185,186,186,186,186,186,186,186,186,186,186,186,186,186,186,186,186,186,186,187,187,187,187,187,187,192,193,193,193,193,193,193,194,194,194,194,194,194,194,195,196,196,196,196,196,200,200,200,206,207,207,207,213,237,237,237,237,244,253,253,253,333,345,357,422,422,448,599,631,642,643,753,754,828,964,986,986,989,1010,1217,1379,1379,1554,1560,1598,1617,1730,1802,1846,1991,2036,2061,2108,2229,2244,2705,2716,2832,2976,3051,3138,3317,3415,3516,3642,3738,3911,4011,4111,4207,4305,4381,4492,4564,4607,4686,4709,4761,4783,4832,4915,5010,5049,5108,5184,5206,5294,5327,5365,5431,5517,5567,5619,5648,5699,5738,5804,5844,5882,5908,5934,5975,6007,6045,6075,6123,6137,6157,6185,6246,6372,6410,6430,6448,6488,6511,6536,6566,6592,6618,6642,6693,6722,6763,6801,6853,6889,6921,6947,7017,7066,7129,7203,7266,7300,7341,7413,7551,7651,7747,7838,7872
Congo (Brazzaville),Congo (Brazzaville),Congo (Brazzaville),,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,5,5,5,5,5,5,11,11,11,11,11,16,16,16,16,16,19,19,19,19,19,19,25,25,25,26,26,30,30,33,33,33,53,53,53,87,87,87,87,110,132,132,137,137,147,147,147,147,161,161,161,161,179,179,179,179,179,182,210,210,210,210,221,221,221,221,221,391,391,391,391,391,391,391,456,456,456,456,456,456,456,456,456,456,486,501,501,501,501,501,525,525,589,589,589,589,589,589,589,626,626,626,666,666,666,666,756,756,756,829,829,829,829,829,829,829,1589,1589,1589,1589,1589,1589,1589,1589,1625,1625,1625,1625,1625,1625,1625,1625,1625,1625,1625,1625,1625,1742,1742,1742,1742,1742,1742,1742,1742,1742,1742,1742,1742,1742,1742,1742,3887,3887,3887,3887,3887,3887,3887,3887,3887,3887,3887,3887,3887,3887,3887,3887,3887,3887,3887,3887,3887,3887,3887,3887,3887,3887,3887,3887,3887,3887,3887,3887,3887,3887,3887,3887,3887,3887,3887,3887,3887,3887,3887,3887,3887,3887,3887,3887,3887,3887,3887,3887,3887,3887,3887,3887,3887,3887,3887,3887,3887,3887,3887,3887,3887,3887,3887,3887,3887,3887,3887,3887,3887,3887,3887,3887,4988,4988,4988,4988,4988,4988,4988,4988,4988,4988,4988,4988,4988,4988,4988,4988,4988,4988,4988,4988,4988
